"1";"gyro_xout";"gyro_yout";"gyro_zout";"accel_xout";"accel_yout";"accel_zout"
"14847";"208";"417";"146";"3420";"-1456";"15132"
"14848";"155";"394";"140";"3500";"-1392";"15268"
"14849";"186";"433";"137";"3412";"-1468";"15216"
"14850";"154";"388";"132";"3480";"-1388";"15248"
"14851";"200";"425";"136";"3444";"-1428";"15208"
"14852";"163";"409";"155";"3372";"-1464";"15224"
"14853";"161";"417";"150";"3432";"-1448";"15136"
"14854";"187";"420";"114";"3400";"-1464";"15200"
"14855";"169";"418";"116";"3380";"-1400";"15232"
"14856";"150";"417";"137";"3452";"-1420";"15216"
"14857";"149";"410";"145";"3388";"-1284";"15180"
"14858";"157";"428";"132";"3408";"-1476";"15184"
"14859";"179";"383";"139";"3444";"-1432";"15220"
"14860";"166";"404";"146";"3472";"-1476";"15344"
"14861";"131";"428";"134";"3444";"-1384";"15240"
"14862";"177";"375";"131";"3424";"-1428";"15244"
"14863";"161";"392";"129";"3476";"-1440";"15208"
"14864";"158";"400";"118";"3348";"-1496";"15132"
"14865";"166";"397";"148";"3412";"-1416";"15232"
"14866";"177";"393";"126";"3440";"-1456";"15244"
"14867";"120";"397";"150";"3468";"-1420";"15220"
"14868";"177";"422";"131";"3432";"-1400";"15244"
"14869";"181";"404";"153";"3376";"-1416";"15260"
"14870";"166";"404";"116";"3420";"-1436";"15208"
"14871";"148";"380";"143";"3424";"-1424";"15152"
"14872";"183";"420";"138";"3420";"-1456";"15284"
"14873";"133";"402";"115";"3416";"-1412";"15152"
"14874";"186";"426";"131";"3420";"-1428";"15172"
"14875";"130";"415";"119";"3452";"-1420";"15212"
"14876";"132";"403";"141";"3412";"-1400";"15268"
"14877";"167";"434";"125";"3404";"-1440";"15244"
"14878";"202";"445";"108";"3436";"-1436";"15240"
"14879";"159";"397";"135";"3436";"-1432";"15168"
"14880";"181";"400";"159";"3384";"-1420";"15168"
"14881";"153";"379";"104";"3480";"-1376";"15128"
"14882";"161";"403";"173";"3392";"-1492";"15140"
"14883";"149";"415";"144";"3432";"-1428";"15208"
"14884";"181";"390";"115";"3432";"-1484";"15584"
"14885";"157";"406";"140";"3512";"-1392";"15244"
"14886";"155";"425";"153";"3384";"-1448";"15348"
"14887";"119";"408";"98";"3448";"-1436";"15332"
"14888";"143";"404";"123";"3440";"-1424";"15316"
"14889";"177";"406";"133";"3468";"-1420";"15176"
"14890";"146";"442";"105";"3416";"-1456";"15180"
"14891";"168";"423";"163";"3476";"-1508";"15220"
"14892";"159";"397";"138";"3452";"-1480";"15168"
"14893";"152";"403";"141";"3456";"-1488";"15268"
"14894";"183";"409";"155";"3396";"-1520";"15204"
"14895";"156";"423";"130";"3396";"-1468";"15284"
"14896";"147";"415";"141";"3400";"-1424";"15144"
"14897";"145";"405";"135";"3396";"-1472";"15136"
"14898";"176";"409";"126";"3372";"-1296";"15228"
"14899";"136";"426";"150";"3452";"-1488";"15336"
"14900";"180";"407";"171";"3380";"-1400";"15188"
"14901";"161";"395";"123";"3412";"-1480";"15320"
"14902";"177";"410";"131";"3364";"-1428";"15196"
"14903";"138";"431";"122";"3432";"-1404";"15284"
"14904";"172";"413";"150";"3456";"-1440";"15304"
"14905";"145";"400";"129";"3380";"-1468";"15292"
"14906";"139";"421";"130";"3440";"-1512";"15320"
"14907";"148";"418";"148";"3460";"-1476";"15276"
"14908";"145";"408";"143";"3440";"-1472";"15220"
"14909";"158";"406";"105";"3476";"-1404";"15188"
"14910";"176";"393";"151";"3452";"-1508";"15236"
"14911";"192";"434";"130";"3408";"-1424";"15512"
"14912";"150";"409";"133";"3360";"-1444";"15188"
"14913";"169";"418";"156";"3480";"-1460";"15240"
"14914";"173";"384";"154";"3412";"-1340";"15212"
"14915";"143";"399";"121";"3440";"-1448";"15168"
"14916";"167";"411";"128";"3432";"-1408";"15236"
"14917";"163";"390";"125";"3436";"-1388";"15220"
"14918";"180";"412";"126";"3460";"-1396";"15176"
"14919";"140";"421";"152";"3388";"-1692";"15324"
"14920";"191";"417";"146";"3420";"-1744";"14968"
"14921";"161";"401";"139";"3360";"-1508";"15204"
"14922";"178";"381";"114";"3380";"-1480";"15124"
"14923";"137";"419";"122";"3432";"-1440";"15212"
"14924";"147";"424";"132";"3364";"-1484";"15260"
"14925";"173";"436";"141";"3384";"-1524";"15236"
