time,X_value,Y_value,Z_value
Started:,12월 10 2020,11:20:30:490, 
7.4855,-1.89178,4.59468,-14.02496
7.5346,-2.16054,4.96028,-14.32336
7.5867,-3.51218,5.15563,-14.40494
7.6410,-4.34776,5.77168,-14.50685
7.6905,-4.97594,6.31974,-15.08842
7.7408,-4.47152,6.54730,-16.37456
7.7932,-3.15886,6.86710,-16.36271
7.8474,-2.72187,5.45764,-16.35015
7.8957,-2.42860,4.18769,-15.83789
7.9486,-1.82886,4.68809,-15.99062
8.0062,-1.16055,5.61388,-16.63637
8.0542,-1.32911,5.04518,-17.66504
8.1081,-1.84353,4.50575,-17.35963
8.1559,-1.59419,5.47260,-17.14169
8.2104,-0.77764,5.41060,-16.49688
8.2604,-0.68984,3.92346,-15.56638
8.3121,-1.12023,4.43871,-15.37470
8.3729,-0.04366,4.49969,-15.42684
8.4161,-0.50626,4.90143,-15.11461
8.4687,-1.72438,5.49545,-15.11412
8.5246,-1.80061,5.56507,-15.48277
8.5741,-1.66069,6.04945,-15.12446
8.6241,-2.96765,6.45925,-14.13875
8.6813,-3.89451,6.91161,-14.53844
8.7280,-4.76829,7.81081,-15.78757
8.7907,-3.24409,7.47018,-15.85718
8.8319,-2.09681,5.77451,-16.49157
8.8853,-2.37706,3.48734,-16.82758
8.9410,-2.45757,3.68788,-17.39476
8.9908,-2.02731,4.71509,-18.11449
9.0402,-1.22618,5.19385,-18.69353
9.0916,-1.26123,5.70816,-18.32346
9.1438,-0.37369,6.10970,-18.00667
9.1963,0.64799,5.05633,-17.24869
9.2479,-0.60888,4.16782,-16.65012
9.3017,-0.64751,5.12636,-18.03548
9.3518,0.24470,3.41044,-17.59397
9.4038,-1.24905,2.33442,-17.06330
9.4559,-1.86408,2.94631,-17.23472
9.5081,-1.18980,3.71046,-17.38929
9.5602,-1.88292,3.79342,-16.60329
9.6178,-3.31087,4.29564,-15.77522
9.6727,-5.47418,4.00239,-15.96076
9.7159,-6.38726,5.04712,-18.23195
9.7705,-4.73320,5.83730,-18.66362
9.8213,-3.03222,3.76090,-18.96548
9.8742,-3.39571,3.18497,-19.33013
9.9239,-2.97987,3.07764,-19.12708
9.9779,-2.19629,2.84264,-18.92370
10.0276,-2.35509,3.26702,-18.81379
10.0823,-2.78693,3.14598,-18.20194
10.1367,-3.24275,3.15201,-17.01165
10.1839,-2.46152,2.82664,-15.64339
10.2367,-2.84984,0.83883,-14.69586
10.2894,-3.39999,0.53441,-14.93300
10.3407,-1.85940,0.24343,-14.49302
10.3923,-1.95266,-0.50459,-14.66276
10.4481,-2.06229,0.27576,-14.83180
10.4970,-2.12364,1.26301,-15.54871
10.5568,-2.12462,1.85075,-15.12388
10.5999,-3.53119,2.68074,-14.61445
10.6540,-4.36170,3.64632,-14.98588
10.7036,-2.25422,2.68377,-14.05096
10.7611,-1.19770,2.09187,-15.07734
10.8076,-0.89127,1.67248,-16.97015
10.8609,-1.03435,1.35802,-17.66220
10.9119,-0.75972,1.65747,-18.00710
10.9639,0.05519,2.58137,-18.93656
11.0170,0.78725,3.05428,-18.96054
11.0702,0.33970,2.98441,-18.36188
11.1200,-0.08839,3.47486,-18.26136
11.1754,2.31354,3.80090,-17.63651
11.2292,2.96412,3.33583,-16.97540
11.2755,2.05328,4.19259,-15.49338
11.3276,1.98608,2.91552,-15.29979
11.3868,-0.22743,0.39940,-15.15993
11.4382,-0.95756,-0.26184,-14.92633
11.4845,-0.69281,1.00388,-15.30134
11.5359,-1.11018,1.22510,-15.16435
11.5876,-1.36265,1.66080,-15.73863
11.6493,-2.15670,3.16158,-16.44215
11.6926,-2.49725,2.39470,-17.17600
11.7438,0.71591,2.58845,-17.89348
11.7987,1.35940,2.77767,-17.99721
11.8524,0.12109,1.02920,-18.49723
11.9005,0.41615,2.02739,-18.82919
11.9513,0.83118,3.30832,-18.74360
12.0062,1.08407,3.25053,-19.20944
12.0560,1.17704,3.64400,-18.87728
12.1077,1.17668,3.86914,-17.74000
12.1603,1.50681,3.34084,-17.36033
12.2119,0.80412,1.12966,-16.11307
12.2666,0.30684,1.64065,-16.13465
12.3201,1.66230,0.42347,-15.90466
12.3675,0.85657,-0.16837,-15.60256
12.4224,0.87320,0.55526,-15.29160
12.4718,0.92273,0.82893,-15.53421
12.5240,0.43801,1.24091,-15.13054
12.5759,-0.42276,2.63751,-15.52484
12.6306,-1.11453,3.72036,-16.32579
12.6823,-1.50332,4.21312,-17.64023
12.7396,0.63142,3.50980,-18.44758
12.7849,1.37923,1.64776,-18.61505
12.8371,1.26363,1.24401,-19.41165
12.8890,1.10040,1.71715,-19.92108
12.9399,0.84168,2.65911,-20.17620
12.9919,1.84873,2.49758,-20.08599
13.0434,2.87743,3.15349,-20.40115
13.0961,3.46428,3.99675,-20.82616
13.1493,4.08645,3.13859,-19.53962
13.2090,2.49863,3.08570,-19.09345
13.2517,2.52012,2.47801,-18.12413
13.3048,1.98257,0.90487,-17.52777
13.3574,1.38418,0.51861,-17.04116
13.4082,1.13752,1.56123,-16.74006
13.4611,1.33416,2.02518,-16.82306
13.5147,1.22937,2.82681,-16.48295
13.5662,1.09454,3.52035,-16.94449
13.6186,0.22262,3.76544,-17.58223
13.6678,-0.55945,3.23985,-18.78741
13.7217,1.22713,2.50105,-18.67835
13.7712,0.69859,0.95171,-18.74861
13.8249,1.59506,0.57023,-18.91060
13.8758,1.76311,0.97928,-18.60755
13.9308,1.19371,1.85431,-18.54465
13.9803,1.38352,3.92557,-17.61965
14.0316,0.56203,3.98871,-17.55232
14.0864,0.72447,3.75073,-17.22772
14.1380,1.30707,1.70074,-15.57432
14.1877,0.41504,1.46847,-15.33217
14.2393,1.90025,1.38477,-14.99429
14.3023,0.82446,-0.48141,-14.35281
14.3444,-0.13359,-0.27774,-14.30216
14.3992,-0.34822,1.64331,-14.81654
14.4512,-0.26927,2.13299,-15.04113
14.5048,-0.66056,2.39519,-15.19019
14.5513,-1.46035,3.10008,-15.49090
14.6046,-3.11226,1.58269,-15.70516
14.6551,-2.56154,1.20649,-16.60977
14.7087,-0.66043,1.00280,-16.83449
14.7614,-0.52185,0.27717,-17.22617
14.8115,0.14836,0.79252,-18.09374
14.8654,0.04716,2.12081,-18.22347
14.9182,0.59731,2.69333,-18.68034
14.9707,-0.49680,3.34868,-18.57011
15.0191,-0.85151,4.29198,-18.24356
15.0737,-0.03285,3.10519,-17.63991
15.1222,-0.86205,0.90678,-16.16661
15.1741,-1.84612,2.46603,-15.83839
15.2253,-0.22439,1.58724,-15.20195
15.2769,-1.27571,-0.28883,-14.50096
15.3294,-1.33164,0.75024,-14.40751
15.3902,-0.36402,2.15266,-14.73665
15.4337,-0.85951,1.94454,-14.80047
15.4862,-1.60111,2.47131,-14.81643
15.5424,-1.55929,3.12172,-15.97874
15.5902,-2.15927,1.71107,-16.84260
15.6437,-1.70380,1.16411,-17.99260
15.6931,-0.64445,0.85350,-18.96625
15.7493,-0.78472,-0.05557,-18.96115
15.8081,-0.49443,0.49870,-19.22689
15.8581,0.36218,1.52236,-19.47626
15.9021,1.41154,2.39462,-19.75858
15.9569,1.32605,2.50108,-19.16544
16.0062,1.43997,2.92445,-18.71199
16.0581,2.09882,0.92439,-18.22804
16.1092,1.00374,-0.57731,-17.32367
16.1612,0.55089,0.07702,-17.43037
16.2175,1.77525,-1.01489,-17.44152
16.2724,0.95696,-1.09451,-17.48798
16.3173,0.41998,-0.53137,-17.61951
16.3692,0.59511,-0.03706,-17.62215
16.4228,0.02001,0.47888,-17.12131
16.4746,-0.56162,1.94621,-17.52236
16.5249,-1.15623,3.74040,-18.41665
16.5787,-1.38227,3.05514,-19.01009
16.6292,-0.67163,2.52257,-19.68136
16.6877,-0.03059,1.40415,-20.04977
16.7368,0.16873,1.19826,-20.64137
16.7863,0.17381,1.66250,-20.97020
16.8369,0.34965,1.84181,-21.54421
16.8906,1.19442,2.13685,-21.96034
16.9408,0.97749,2.99090,-21.60250
16.9930,1.13524,3.76939,-21.67438
17.0452,1.90928,2.23975,-21.17473
17.0987,0.81680,1.41363,-20.54280
17.1540,1.19649,1.73581,-20.54609
17.2018,1.66010,-0.45986,-19.91176
17.2538,-0.08580,-1.23784,-19.65738
17.3045,-0.01732,-0.41003,-19.64185
17.3567,-0.40336,-0.30318,-19.50628
17.4084,-0.29288,0.62251,-18.89790
17.4605,-1.08671,2.20122,-18.77704
17.5125,-2.29729,3.39503,-19.22078
17.5648,-1.90105,3.56835,-19.57097
17.6185,-0.87257,3.16693,-19.73406
17.6686,-0.72259,1.23665,-19.44876
17.7211,-0.81004,1.10609,-19.67242
17.7729,-0.28906,1.91412,-19.81328
17.8248,1.27072,3.15041,-20.39394
17.8768,2.59182,3.76866,-20.24690
17.9287,2.24532,3.54054,-19.67923
17.9806,2.29829,3.64363,-19.16424
18.0332,2.38483,2.74845,-18.19657
18.0847,0.97049,1.99532,-17.53180
18.1365,1.32680,0.59848,-17.07700
18.1890,1.55340,-0.63421,-16.76228
18.2477,1.21420,-0.43386,-16.93969
18.2937,1.01259,-0.34788,-17.06519
18.3452,1.35472,-0.12782,-16.93903
18.3970,0.94930,0.62909,-16.68927
18.4502,-0.02846,1.22142,-17.41641
18.5031,-0.19033,1.82746,-18.55424
18.5530,0.66186,2.84754,-18.61171
18.6051,1.11689,2.36789,-18.77889
18.6573,0.62511,1.08561,-18.58751
18.7090,0.01054,0.40208,-18.66244
18.7609,0.57448,1.08249,-18.61984
18.8170,1.92571,1.48293,-19.23042
18.8667,1.63172,1.91513,-18.62822
18.9224,1.14725,3.04419,-18.13370
18.9699,1.99080,2.22206,-17.77977
19.0211,1.99092,-0.75951,-16.01377
19.0729,2.01894,0.14485,-16.08835
19.1328,2.85448,-1.41285,-15.99021
19.1768,1.47440,-2.83024,-16.30348
19.2288,1.12253,-1.52181,-16.23535
19.2832,0.90287,0.22159,-16.74389
19.3343,0.69713,0.39325,-16.33795
19.3871,0.03029,1.63569,-15.89109
19.4368,-0.31523,2.71373,-16.28943
19.4888,-0.69407,2.36450,-16.65202
19.5425,0.47644,1.74050,-17.06588
19.5938,0.82528,0.04640,-17.16358
19.6445,0.99599,-1.16806,-17.92925
19.7003,1.54089,-1.15525,-18.34527
19.7498,1.98658,0.04784,-19.16215
19.8039,2.75647,1.01853,-19.38638
19.8540,2.54925,1.33243,-19.04179
19.9046,2.42803,0.47568,-19.28630
19.9584,3.39795,-0.27407,-18.46640
20.0091,2.75549,-0.72521,-18.51552
20.0606,2.65156,0.62207,-19.24501
20.1124,3.22383,-0.88043,-18.32154
20.1681,1.39572,-2.25078,-17.78376
20.2169,2.09236,-2.23811,-17.51685
20.2728,1.67193,-2.30473,-16.93209
20.3221,1.53637,-2.64869,-16.40786
20.3731,1.52442,-1.65459,-15.94803
20.4248,0.29537,0.40715,-16.86581
20.4769,-0.28801,2.06631,-19.05424
20.5286,1.50505,3.06517,-19.72593
20.5802,2.20775,1.70100,-20.08845
20.6323,1.51191,0.19387,-20.57872
20.6843,1.84350,0.85992,-20.79736
20.7369,1.60994,1.16596,-20.79359
20.7888,1.68990,1.02321,-21.22112
20.8406,2.24339,1.64773,-20.71525
20.8928,3.01892,2.10945,-20.15005
20.9447,3.95069,0.73317,-19.48925
20.9969,2.34377,0.36394,-18.63670
21.0485,1.92373,1.13770,-18.91785
21.1002,2.11134,-0.37805,-18.71936
21.1525,1.38895,-0.61178,-18.65657
21.2047,1.10545,-0.17784,-18.30368
21.2561,1.22341,-0.19647,-17.68744
21.3088,0.36248,1.40314,-17.53441
21.3604,0.26156,2.62781,-17.69359
21.4122,-1.12794,4.69535,-18.67098
21.4644,-1.63396,4.36951,-19.41640
21.5169,0.28326,3.43093,-19.81619
21.5732,1.28639,0.95412,-20.11731
21.6206,1.89833,-0.44519,-20.50682
21.6731,1.73357,0.66249,-21.29215
21.7251,1.90372,0.91827,-21.42392
21.7815,1.69300,0.73999,-21.33629
21.8383,1.73537,0.89085,-20.80385
21.8804,3.11486,1.61523,-20.27234
21.9354,3.42809,0.28770,-19.25758
21.9853,2.29712,0.52214,-18.50420
22.0363,2.53507,-0.81156,-18.25173
22.0893,2.14730,-2.39200,-18.57368
22.1405,1.71169,-1.26338,-18.95897
22.1973,2.38032,-0.54456,-19.58620
22.2450,3.97324,-0.85692,-18.91759
22.2964,2.53978,0.89556,-18.15908
22.3511,0.53174,1.53569,-18.40041
22.3996,-0.36285,1.97418,-19.27096
22.4533,0.81468,1.80031,-19.65784
22.5020,0.92340,0.92638,-20.48310
22.5547,1.11724,0.17883,-20.96501
22.6082,1.05631,0.42503,-21.47273
22.6603,1.54598,1.00494,-22.00409
22.7119,1.00530,0.87079,-22.98825
22.7627,0.98414,1.72219,-22.39567
22.8158,2.10543,2.36149,-21.87634
22.8709,2.80494,1.11141,-21.40299
22.9238,1.55466,1.60862,-20.10521
22.9725,0.96609,0.89844,-19.79558
23.0224,0.87386,-0.81638,-19.32340
23.0752,0.10220,-0.97341,-18.81981
