"1";"gyro_xout";"gyro_yout";"gyro_zout";"accel_xout";"accel_yout";"accel_zout"
"1399";"719";"1389";"671";"-252";"-1076";"15276"
"1400";"2571";"3343";"-374";"-944";"-868";"16152"
"1401";"-2578";"3182";"-9";"-1584";"-1108";"15936"
"1402";"1717";"711";"-1143";"-1740";"-1220";"15820"
"1403";"1610";"1020";"-3214";"-2108";"-1368";"13536"
"1404";"1102";"-1079";"4744";"-1792";"-1580";"16168"
"1405";"428";"-608";"4577";"-1832";"-360";"15788"
"1406";"1028";"-863";"134";"-1384";"-1576";"15992"
"1407";"-1265";"906";"769";"-1784";"-908";"15636"
"1408";"-1472";"-4867";"-4260";"4876";"-2620";"17412"
"1409";"329";"-7082";"209";"3972";"-2772";"16188"
"1410";"58";"-4376";"-3729";"-444";"-2524";"14108"
"1411";"-42";"2287";"-2006";"-1104";"-1156";"12756"
"1412";"-699";"4983";"-218";"516";"-2636";"14680"
"1413";"-382";"5620";"1757";"-440";"-2528";"15688"
"1414";"-1043";"5346";"3622";"-1692";"-648";"13576"
"1415";"-2466";"1233";"8065";"-2228";"-1136";"14960"
"1416";"-33";"-82";"1776";"-976";"-3672";"15436"
"1417";"136";"1474";"145";"-1720";"-1304";"15272"
"1418";"-407";"-128";"-45";"-1596";"-1160";"15868"
"1419";"776";"-165";"125";"-1800";"-964";"16024"
"1420";"408";"363";"142";"-1512";"-1112";"15792"
"1421";"299";"490";"180";"-1500";"-896";"15888"
"1422";"72";"477";"147";"-1640";"-900";"16076"
"1423";"-1187";"975";"3970";"-5212";"-536";"16900"
"1424";"-1561";"3400";"-3130";"-2840";"1372";"15860"
"1425";"1066";"5010";"-1971";"-1284";"-2272";"14428"
"1426";"2437";"-1034";"-5416";"-1440";"-2824";"15728"
"1427";"1326";"-2702";"-2228";"-2152";"-2464";"15136"
"1428";"-922";"-1814";"-1784";"-2096";"-1908";"16564"
"1429";"-2295";"638";"-289";"-1608";"-1964";"16728"
"1430";"6951";"1292";"2635";"-5624";"444";"14916"
"1431";"275";"444";"154";"-2032";"-516";"16124"
"1432";"16";"340";"141";"-2236";"-1120";"15692"
"1433";"250";"-254";"143";"-1596";"-984";"15472"
"1434";"185";"308";"168";"-1632";"-796";"15860"
"1435";"-84";"-334";"-59";"-1464";"-840";"15880"
"1436";"-2489";"934";"-2683";"-2700";"-1880";"16028"
"1437";"-9865";"6943";"-2835";"-1500";"-4032";"16796"
