created,tweet_text
2020-11-20 03:02:34,RT @FF14_Orte: 근데 자만추 점점 클럽? 나이트? 분위기가 디폴트로 되어가는 것도 꼬움 굳이... 굳이그래야함?? 게임에서 친구사귈거면 그냥 밝은 하우징에 편안한 분위기에서 하면 안 되는 거임??... 그래 여까진 뭐 어둡고 빰빰빰빰 하는…
2020-11-20 02:45:40,RT @FF14_Orte: 근데 자만추 점점 클럽? 나이트? 분위기가 디폴트로 되어가는 것도 꼬움 굳이... 굳이그래야함?? 게임에서 친구사귈거면 그냥 밝은 하우징에 편안한 분위기에서 하면 안 되는 거임??... 그래 여까진 뭐 어둡고 빰빰빰빰 하는…
2020-11-20 02:33:03,RT @FF14_Orte: 근데 자만추 점점 클럽? 나이트? 분위기가 디폴트로 되어가는 것도 꼬움 굳이... 굳이그래야함?? 게임에서 친구사귈거면 그냥 밝은 하우징에 편안한 분위기에서 하면 안 되는 거임??... 그래 여까진 뭐 어둡고 빰빰빰빰 하는…
2020-11-20 02:31:54,RT @FF14_Orte: 근데 자만추 점점 클럽? 나이트? 분위기가 디폴트로 되어가는 것도 꼬움 굳이... 굳이그래야함?? 게임에서 친구사귈거면 그냥 밝은 하우징에 편안한 분위기에서 하면 안 되는 거임??... 그래 여까진 뭐 어둡고 빰빰빰빰 하는…
2020-11-20 02:29:10,RT @FF14_Orte: 근데 자만추 점점 클럽? 나이트? 분위기가 디폴트로 되어가는 것도 꼬움 굳이... 굳이그래야함?? 게임에서 친구사귈거면 그냥 밝은 하우징에 편안한 분위기에서 하면 안 되는 거임??... 그래 여까진 뭐 어둡고 빰빰빰빰 하는…
2020-11-20 02:28:20,RT @FF14_Orte: 근데 자만추 점점 클럽? 나이트? 분위기가 디폴트로 되어가는 것도 꼬움 굳이... 굳이그래야함?? 게임에서 친구사귈거면 그냥 밝은 하우징에 편안한 분위기에서 하면 안 되는 거임??... 그래 여까진 뭐 어둡고 빰빰빰빰 하는…
2020-11-20 07:08:51,RT @FF14_Orte: 근데 자만추 점점 클럽? 나이트? 분위기가 디폴트로 되어가는 것도 꼬움 굳이... 굳이그래야함?? 게임에서 친구사귈거면 그냥 밝은 하우징에 편안한 분위기에서 하면 안 되는 거임??... 그래 여까진 뭐 어둡고 빰빰빰빰 하는…
2020-11-20 05:05:33,"아ㅋㅋ 친구가 O딘 영상 보여줘서 보는데, 시네마틱 되게 잘뽑았다 디자인 좋다 이러다가 플레이어블 캐릭터 그래픽 보자마자 짜식었음...

we r... korea...

왜... 몬스터랑 배경 디자인 그렇게 잘 뽑아놓고 왜... 괴리감 맥스 찍는것.."
2020-11-20 04:25:14,RT @FF14_Orte: 근데 자만추 점점 클럽? 나이트? 분위기가 디폴트로 되어가는 것도 꼬움 굳이... 굳이그래야함?? 게임에서 친구사귈거면 그냥 밝은 하우징에 편안한 분위기에서 하면 안 되는 거임??... 그래 여까진 뭐 어둡고 빰빰빰빰 하는…
2020-11-20 04:23:58,RT @FF14_Orte: 근데 자만추 점점 클럽? 나이트? 분위기가 디폴트로 되어가는 것도 꼬움 굳이... 굳이그래야함?? 게임에서 친구사귈거면 그냥 밝은 하우징에 편안한 분위기에서 하면 안 되는 거임??... 그래 여까진 뭐 어둡고 빰빰빰빰 하는…
